distribution,replicate,k,rho,mean_uplift,max_FOSD_violation
Gaussian,0,0.5,0.7099961162406919,0.1371113581941237,-0.0008274683728878712
Gaussian,0,1.0,0.7099961162406919,0.2397879643911625,-0.001282212256740537
Gaussian,0,2.0,0.7099961162406919,0.35073395886597897,-0.0015565988252522157
Gaussian,0,4.0,0.7099961162406919,0.42149322833721403,-0.0016177824066239477
Gaussian,1,0.5,0.7089871422679731,0.13698734120037873,-0.0008185728154368466
Gaussian,1,1.0,0.7089871422679731,0.23991246610211353,-0.0012667099174795693
Gaussian,1,2.0,0.7089871422679731,0.3517872330575106,-0.0015436430239032716
Gaussian,1,4.0,0.7089871422679731,0.4234526575788322,-0.0016208954954837302
Gaussian,2,0.5,0.7087116555133482,0.1368240562704057,-0.0008242060351401205
Gaussian,2,1.0,0.7087116555133482,0.2395302865486259,-0.0012728454446307895
Gaussian,2,2.0,0.7087116555133482,0.3512447614118356,-0.001555405447509874
Gaussian,2,4.0,0.7087116555133482,0.4231568543909207,-0.0016266248478277632
Gaussian,3,0.5,0.7067988083323105,0.1364550435299696,-0.0008020566233228124
Gaussian,3,1.0,0.7067988083323105,0.23878906802612299,-0.0012458089845978947
Gaussian,3,2.0,0.7067988083323105,0.34962252826349116,-0.0015300827149787237
Gaussian,3,4.0,0.7067988083323105,0.4205171876698953,-0.0016103249129410142
Gaussian,4,0.5,0.706504389788281,0.13645117642032042,-0.0007894378912300254
Gaussian,4,1.0,0.706504389788281,0.23911206292686624,-0.0012403274019271437
Gaussian,4,2.0,0.706504389788281,0.35128899009536,-0.0015243598641366818
Gaussian,4,4.0,0.706504389788281,0.4240964964745645,-0.0015953766773237588
Gaussian,5,0.5,0.704859931763468,0.13607893426056109,-0.0008166839783938507
Gaussian,5,1.0,0.704859931763468,0.2380796497915974,-0.001267151207338335
Gaussian,5,2.0,0.704859931763468,0.3486185138522408,-0.001543273212658569
Gaussian,5,4.0,0.704859931763468,0.4194742905416529,-0.0016142842110781208
