noise_sigma,replicate,evaluator,corr,mean_uplift,tail_gain
0.25,0,linear_3param,-0.0015885500204920328,-0.0005967226629748467,-0.0005827375399325985
0.25,0,interaction_4param,0.969265114572504,0.5223643684498731,0.09475596716203262
0.25,0,random_control,0.004241522918416769,0.003333539187328902,0.0003249128310768984
0.25,1,linear_3param,0.000891335592530106,0.001593780454807493,0.0012810016876219354
0.25,1,interaction_4param,0.9707032577265308,0.5103767407452111,0.08911978980257967
0.25,1,random_control,-0.003646825634205846,-0.002066655641419425,-0.0006435696055368256
0.25,2,linear_3param,-0.010912899651391621,-0.004178215057644655,-0.00020619266321723895
0.25,2,interaction_4param,0.970450798217523,0.49947190171111033,0.08485453651374962
0.25,2,random_control,-0.0005540719626265862,-0.002320877468967482,-0.0011676286622095688
0.25,3,linear_3param,0.0035558931971864053,0.0009348841272464715,0.0002664111580745615
0.25,3,interaction_4param,0.9700092951925011,0.5011673838119212,0.08559032735563961
0.25,3,random_control,0.0010723055515044339,0.00247648412476751,0.0005522312063694079
0.25,4,linear_3param,-0.004399423071415723,-0.0023622360638585554,4.4317312574690404e-05
0.25,4,interaction_4param,0.969892035282533,0.509748880774753,0.08868102399197644
0.25,4,random_control,-0.0012073098630118672,-0.0013553091190833203,-7.020884480549161e-05
0.25,5,linear_3param,0.005470655760807656,0.004238435221055851,0.000974845937057961
0.25,5,interaction_4param,0.9701469603520098,0.5061012640549521,0.08728740660729137
0.25,5,random_control,0.00031701318036926997,0.00013742645985989973,-0.000757213825556366
0.25,6,linear_3param,-0.005566083611934759,-0.0024528337032510045,-0.0005006449261629325
0.25,6,interaction_4param,0.9701669994580538,0.5217789740171578,0.09331686235573887
0.25,6,random_control,0.007122662350316555,0.0028363590925960087,0.0010236118962382579
0.25,7,linear_3param,0.005061985137639751,0.00236141715843061,0.00011350734171780563
0.25,7,interaction_4param,0.9696620083035375,0.4920881962917729,0.08181321126506312
0.25,7,random_control,0.002397143075807159,0.004564024129923378,-0.000423281946518278
0.25,8,linear_3param,0.010553996076331538,0.0033593273358898186,0.0015594164672335792
0.25,8,interaction_4param,0.9699415085666572,0.5096066913927015,0.08912650267815665
0.25,8,random_control,0.004356028241865043,0.005206937246906552,0.0012383847752498456
0.25,9,linear_3param,-0.009280690054763844,-0.00507594546392458,-0.0008280418174800019
0.25,9,interaction_4param,0.9700508313147529,0.5087483251024711,0.088671194458276
0.25,9,random_control,0.0013955316361476408,-0.00011066257548246018,-0.0007846452801528875
0.25,10,linear_3param,-0.007407785254345796,-0.0026135575448169844,-0.000137902391843428
0.25,10,interaction_4param,0.9696199695059645,0.52284591680529,0.09424980036905299
0.25,10,random_control,-4.4746136854943585e-05,-0.0010730346722808324,0.0005526745936265398
0.25,11,linear_3param,0.0006140029292368927,0.0026755623950305593,-0.00017450600488835843
0.25,11,interaction_4param,0.9696958844840358,0.49297843240124267,0.0829472281517115
0.25,11,random_control,0.0004590673000860387,-0.0023737812612561,-0.0007708501098196568
0.5,0,linear_3param,-0.0013913596646277127,0.0005479784370672939,-0.0004099596572678388
0.5,0,interaction_4param,0.8946997820371275,0.4533828166004337,0.08640107973627684
0.5,0,random_control,-0.0010265935519454962,0.00020337036461123156,-0.0010752787442525752
0.5,1,linear_3param,-0.006191867546919486,-0.0018953655723999987,-0.000664835858052687
0.5,1,interaction_4param,0.8940171388622293,0.47855398492626267,0.09652641660093532
0.5,1,random_control,-0.004676849463548561,-0.005120575734105728,-0.001687443864821933
0.5,2,linear_3param,-0.0004352533978136724,-0.0009280201055187158,-0.0011255438840726412
0.5,2,interaction_4param,0.8936271733807011,0.4552946484013639,0.08749490176114917
0.5,2,random_control,-0.001910656499529135,-0.0025235473257195417,0.00042717005838138755
0.5,3,linear_3param,-0.010602755457286846,-0.001343345326985067,-0.0013344806572472973
0.5,3,interaction_4param,0.894661402973225,0.4595269469351449,0.0898047728205892
0.5,3,random_control,-0.00023793869928468721,0.0003045040455509098,0.000757606490872198
0.5,4,linear_3param,0.004833631447943258,0.0074011270348885334,0.0006978378472330127
0.5,4,interaction_4param,0.8957230623109081,0.476348980493717,0.09580465999260226
0.5,4,random_control,0.0015305140975293478,0.0038184181109505986,0.0017795862833746012
0.5,5,linear_3param,1.778020580567018e-05,0.0007119991394473879,0.0003426369052595829
0.5,5,interaction_4param,0.8951477206492178,0.4703718618899768,0.09322607197147778
0.5,5,random_control,0.0017079930692545547,0.0028367200877241214,-0.00011249114160311047
0.5,6,linear_3param,-0.0008272049279345444,-0.002484020127505918,-0.0011131455794564787
0.5,6,interaction_4param,0.8956522039509036,0.4702857449652516,0.09417393152041464
0.5,6,random_control,0.0066533200622564586,0.005321203182981538,0.0008418432625064975
0.5,7,linear_3param,8.761124298265308e-05,-0.00010017613026036045,1.1798237785978771e-05
0.5,7,interaction_4param,0.895640882907424,0.45733111096854934,0.08693856040400744
0.5,7,random_control,-0.0058413222462194445,-0.0024008414512475804,-0.00022143507557823017
0.5,8,linear_3param,0.0029169761196447437,0.0047398859960894706,-0.0003437549836897147
0.5,8,interaction_4param,0.8944113202957887,0.46258589902438496,0.08992410005092115
0.5,8,random_control,0.0006431819322974938,-0.0005737778196248973,-2.828560687100079e-05
0.5,9,linear_3param,0.002742789392723641,0.001802255433362952,0.0006277629488517372
0.5,9,interaction_4param,0.8926908781088364,0.4763824515787113,0.09632184964910195
0.5,9,random_control,0.000738133760335051,0.002005228956182279,0.00012769841168965013
0.5,10,linear_3param,-0.003637576075639286,-0.0026365822734409614,-0.0013137479218544579
0.5,10,interaction_4param,0.895513863378131,0.4758686025917737,0.09528724937504748
0.5,10,random_control,0.0029628788545811636,0.003961900614976816,0.001776048219723339
0.5,11,linear_3param,-0.005806830413476271,-0.0037233097778780785,-0.00021267385050909027
0.5,11,interaction_4param,0.8948304921034198,0.4671948260068987,0.09187103626148858
0.5,11,random_control,0.0019067259100727875,0.0038723999135475153,0.001071168416248311
1.0,0,linear_3param,0.00038788262764752156,0.0016822606085585407,0.0005109503864876297
1.0,0,interaction_4param,0.706466919360268,0.3646092200706364,0.08150751394938621
1.0,0,random_control,-0.004556387176089508,-0.0009193678520503451,-0.0002582422326925793
1.0,1,linear_3param,0.0009072538430192386,0.0009380512639039957,0.0011859284149147997
1.0,1,interaction_4param,0.7036988315457026,0.3717181720023481,0.08551009772287271
1.0,1,random_control,-0.0027091678609493792,-0.001193617986407226,-0.000919758644507801
1.0,2,linear_3param,0.00688232563706356,0.005460153431236852,0.0013787375299738336
1.0,2,interaction_4param,0.7060706460882484,0.36042804245399584,0.08087797320701817
1.0,2,random_control,0.005894990302651043,0.003880604052670279,0.0015463636363636235
1.0,3,linear_3param,-0.0019356559223365453,-0.0025534660002228377,-0.0005466057855555706
1.0,3,interaction_4param,0.7045608758211767,0.35895985462076924,0.08105757392723212
1.0,3,random_control,-0.001550849069863234,-0.0028200184634049343,-0.0014646570178856733
1.0,4,linear_3param,-0.009029325069800002,-0.0016164332518129275,-0.0012461235671386017
1.0,4,interaction_4param,0.7072110599143243,0.3738949948024932,0.0862052239079456
1.0,4,random_control,0.0003899235343312669,-0.0019212595843785872,-0.0007889544700875328
1.0,5,linear_3param,-0.007409081826009822,-0.008223759590973437,-0.0033002893024602076
1.0,5,interaction_4param,0.7058767408279493,0.36258208778479567,0.08093721818259744
1.0,5,random_control,0.0016076736374859293,0.0023201835295234277,0.0014897958177926551
1.0,6,linear_3param,0.0034185551561267775,0.0012942181474419373,0.0012023294664246786
1.0,6,interaction_4param,0.7067617561428817,0.3580863371078573,0.08139150009568297
1.0,6,random_control,-0.0010007811415553472,-0.0012088400786448097,-0.0011725707550601372
1.0,7,linear_3param,0.006606675792003607,0.005837661563025473,0.002037366334075197
1.0,7,interaction_4param,0.7084327674927431,0.3698620648957385,0.08361029645115067
1.0,7,random_control,-0.0029302783322612434,0.0019205042196404488,-0.0008449711452019892
1.0,8,linear_3param,0.0020636237808221644,0.00017265336655599353,0.0003643270740073534
1.0,8,interaction_4param,0.707630642837569,0.37309440608536615,0.08554581399646652
1.0,8,random_control,0.0023319159005431257,0.0035033024936441987,7.913979587761966e-05
1.0,9,linear_3param,-0.0009702203095473794,-0.0005954644865094557,0.001025234281297971
1.0,9,interaction_4param,0.7114857848796116,0.3660953747095357,0.08211645546741639
1.0,9,random_control,-0.004050707539038767,-0.001852083990334572,0.0007470643581760916
1.0,10,linear_3param,0.0027425316746302114,0.0030391185014803936,-0.0006622296974805875
1.0,10,interaction_4param,0.703593242062535,0.3688577290808744,0.08400452570391084
1.0,10,random_control,0.0016516787559711318,0.0013962080756515657,0.0008730861244019006
1.0,11,linear_3param,-0.0031563043953367347,-0.0007083094249398449,-1.789827299039648e-05
1.0,11,interaction_4param,0.7095746850330881,0.37205668039679957,0.08456979847638252
1.0,11,random_control,0.003884337280982296,-0.0013007146604100748,-0.0009038825097265057
2.0,0,linear_3param,0.005346950535673309,0.003725318518558488,0.001268087062794604
2.0,0,interaction_4param,0.4404339887912595,0.23282124285452985,0.05504360167999506
2.0,0,random_control,0.0018974433416575167,0.0032073313808536506,0.000927293008071095
2.0,1,linear_3param,0.004492194721587084,0.001282050315862466,-0.0003893728236274152
2.0,1,interaction_4param,0.44301963044587295,0.2317646663981406,0.0559285700587627
2.0,1,random_control,0.00349898514847607,0.002691029312736874,0.00018958779031386097
2.0,2,linear_3param,-0.0034906795698975983,-0.0018512115732905543,-0.0002146024227462906
2.0,2,interaction_4param,0.44467294491536474,0.22673237791107673,0.053910811700498024
2.0,2,random_control,0.00011843832597681665,0.0001733519085130747,-0.0007275560628391409
2.0,3,linear_3param,-0.00399212850318987,-0.003856492732774189,-0.0014777366330304686
2.0,3,interaction_4param,0.4461948457770947,0.22904785991762389,0.053775814479267714
2.0,3,random_control,-0.0024065263330461783,-0.0021577026661527424,-0.00020329532869770017
2.0,4,linear_3param,0.002517264642237117,-8.026951076245165e-06,0.00047850513412406315
