recognition_probability_target,mode,fraction_recognized,action_pair_corr,recognition_pair_corr,global_mean_U,FP_mean_U,QBS_conditional_uplift
0.1,shared_recognition,0.09872222222222223,0.02888060087220587,1.0,0.1437218851035291,0.1503083773546625,0.006586492251133388
0.1,independent_recognition,0.10038425925925926,0.003547679238330992,-0.0010878242501766112,0.14338461408533706,0.1502068731275035,0.00682225904216645
0.25,shared_recognition,0.25194444444444447,0.07207447185922486,0.9999999999999991,0.16540734615606956,0.18502948912162873,0.01962214296555915
0.25,independent_recognition,0.2505648148148148,0.01832693167562772,-0.0006878940737989282,0.16501191199715362,0.18505170989341913,0.020039797896265477
0.5,shared_recognition,0.5028333333333334,0.14069914900081001,1.0,0.20068321848054735,0.2525849254663751,0.05190170698582776
0.5,independent_recognition,0.5002361111111111,0.0707598922730945,0.00018169126062024388,0.20001010974010933,0.25112900609529387,0.05111889635518456
0.75,shared_recognition,0.7506111111111111,0.20651062443103477,1.0,0.2356455760670786,0.336475033721422,0.10082945765434341
0.75,independent_recognition,0.750537037037037,0.15557941885098722,-6.472892367713582e-05,0.23539954054362547,0.33538524773659517,0.09998570719296969
0.9,shared_recognition,0.9000555555555556,0.2474416774504383,1.0,0.25674210813599313,0.397218775112443,0.1404766669764499
0.9,independent_recognition,0.9005277777777778,0.22222620872353852,0.0009679137064986991,0.2561227867539751,0.39548472619327324,0.13936193943929812
