x,base_cdf,fp_monotone_cdf,fp_nonmonotone_cdf
-4.0,1.338385255071836e-06,2.4407721892744773e-07,2.294759815301603e-07
-3.99,2.7313214000223826e-06,4.981181527538744e-07,4.683051143579084e-07
-3.98,4.180886896316052e-06,7.625034235239385e-07,7.168437660756924e-07
-3.97,5.689233149053105e-06,1.037627073571021e-06,9.75460811014544e-07
-3.96,7.258586810199019e-06,1.3238969931183347e-06,1.2445380251519944e-06
-3.95,8.891252144505353e-06,1.6217353597533658e-06,1.5244704917692266e-06
-3.94,1.0589613459454333e-05,1.931579090042266e-06,1.8156670180859203e-06
-3.93,1.235613760057396e-05,2.2538803035546583e-06,2.118550563103763e-06
-3.92,1.4193376513484894e-05,2.589106799573193e-06,2.433558676892068e-06
-3.91,1.6103969874054168e-05,2.9377425467659963e-06,2.7611439515513308e-06
-3.9,1.809064778804446e-05,3.3002881861040056e-06,3.101774484092896e-06
-3.89,2.015623356166052e-05,3.677261547308938e-06,3.4559343514751245e-06
-3.88,2.230364654440716e-05,4.069198179121466e-06,3.824124098038655e-06
-3.87,2.4535905045685058e-05,4.476651893682871e-06,4.2068612355853984e-06
-3.86,2.685612932656232e-05,4.900195325327208e-06,4.604680756347943e-06
-3.85,2.9267544668170757e-05,5.340420504084684e-06,5.018135659097868e-06
-3.84,3.177348451818597e-05,5.7979394442006066e-06,5.447797488643349e-06
-3.83,3.437739371686033e-05,6.273384747977892e-06,5.894256888968039e-06
-3.82,3.7082831804086915e-05,6.767410225254703e-06,6.358124170264853e-06
-3.81,3.989347640898081e-05,7.2806915288323185e-06,6.840029890119684e-06
-3.8,4.281312672347175e-05,7.813926806171826e-06,7.340625449101462e-06
-3.79,4.5845707061409346e-05,8.367837367681713e-06,7.86058370101614e-06
-3.78,4.899527050468749e-05,8.943168371921773e-06,8.400599578083257e-06
-3.77,5.226600263790065e-05,9.540689528052149e-06,8.961390731294726e-06
-3.76,5.5662225373048264e-05,1.016119581585958e-05,9.543698186216139e-06
-3.75,5.9188400865807545e-05,1.0805508223696172e-05,1.0148287014491702e-05
-3.74,6.28491355248972e-05,1.1474474504669186e-05,1.07759470213142e-05
-3.73,6.664918411605597e-05,1.2168969951423429e-05,1.1427493449121835e-05
-3.7199999999999998,7.059345396216066e-05,1.2889898189860891e-05,1.2103767697783857e-05
-3.71,7.468700924100755e-05,1.3638191992145249e-05,1.280563806153686e-05
-3.7,7.89350753822792e-05,1.4414814109341721e-05,1.353400048293347e-05
-3.69,8.334304356521648e-05,1.522075812404566e-05,1.4289779324064613e-05
-3.68,8.791647531851045e-05,1.6057049323355935e-05,1.5073928155316094e-05
-3.67,9.266110722392479e-05,1.69247455925519e-05,1.588743056191928e-05
-3.66,9.758285572515159e-05,1.7824938329835348e-05,1.6731300968554742e-05
-3.65,0.00010268782204339672,1.8758753382501226e-05,1.7606585482266483e-05
-3.64,0.00010798229720118057,1.972735200490358e-05,1.8514362753942864e-05
-3.63,0.00011347276715583024,2.073193183858527e-05,1.9455744858618767e-05
