noise_sigma,evaluator,mean_corr,mean_uplift,mean_tail_gain
0.25,interaction_4param,0.9702336742947414,0.5067465415983073,0.0875721079202532
0.25,linear_3param,-0.0012931068992931994,4.6117212345047794e-05,1.0810779418795694e-05
0.25,random_control,-0.0005194902897332573,0.00020397632477952058,0.00037415943583644223
0.5,interaction_4param,0.8938375366194423,0.4690905395393489,0.09307777768502172
0.5,linear_3param,-0.0010482280441299783,0.0011667284868519395,7.014959903236621e-05
0.5,random_control,0.0010518375942351163,0.001138056494677767,0.00031063438313992897
1.0,interaction_4param,0.7071904953058917,0.36620857015809144,0.08274388020047223
1.0,linear_3param,0.001890806844844578,0.0012502232234441477,0.000553745425687704
1.0,random_control,0.0005747702971014247,0.00017350328113038003,0.00017236354883483815
2.0,interaction_4param,0.4485411467125853,0.23436107380754131,0.0557720153862013
2.0,linear_3param,-0.0008425793668199659,-3.3965080315070984e-05,3.739173925947544e-05
2.0,random_control,0.0002457885324877928,0.0008413322737082783,0.0001310538148363132
