distribution,k,min_delta_g,mean_violations,g_low,g_high
Bimodal,0.5,0.0176540661372519,0.0,0.4314696509310532,0.6679136034281101
Bimodal,1.0,0.030546544444680857,0.0,0.34174272134075245,0.7571476721119521
Bimodal,2.0,0.04230211995982602,0.0,0.24490205680049415,0.8535596544991483
Bimodal,4.0,0.04630957358196697,0.0,0.1854116364153829,0.9130672320938201
Gaussian,0.5,0.017272809478002138,0.0,0.4188406464232323,0.6810582059732443
Gaussian,1.0,0.03171826981674575,0.0,0.32350409044148826,0.7763810410062527
Gaussian,2.0,0.05018014959542949,0.0,0.22662050526228186,0.8732762455176092
Gaussian,4.0,0.06446256626795055,0.0,0.17089818428571193,0.9288441727146678
Skewed_log,0.5,0.015244619240653678,0.0,0.437766067351328,0.6981952197921831
Skewed_log,1.0,0.028037864239752963,0.0,0.352278225413555,0.7985683955169396
Skewed_log,2.0,0.04469623589651084,0.0,0.25868282987887414,0.8928064376215574
Skewed_log,4.0,0.05807610460014467,0.0,0.19952809560915333,0.9427792756328589
Student_t_df3,0.5,0.009831028437839007,0.0,0.42645964315561763,0.6730143115370719
Student_t_df3,1.0,0.018051173968986478,0.0,0.3409890201739003,0.7581531505216925
Student_t_df3,2.0,0.02884589573895069,0.0,0.2536747032709312,0.8448797751632934
Student_t_df3,4.0,0.0377604775075302,0.0,0.20026775620115367,0.897694889517755
