distribution,k,rho,mean_uplift,sd_uplift,delta_P_L1,surviving_measure,ESS_fraction,worst_FOSD_violation,FOSD_pass_rate
Bimodal,0.5,0.7071034360843008,0.13795394475386788,0.00025521806845801756,0.03675036441048709,0.5498643209609241,0.9636500138572154,-0.0005824662559041182,1.0
Bimodal,1.0,0.7071034360843008,0.2460372090699621,0.0005396448607656513,0.06525289947081639,0.5497671242317467,0.8938929045807344,-0.00098174837807983,1.0
Bimodal,2.0,0.7071034360843008,0.3707911350961779,0.0011181146629593503,0.09746284608839044,0.5496939179665121,0.7862373917043906,-0.0013346905416724664,1.0
Bimodal,4.0,0.7071034360843008,0.45623143483040396,0.0017178733437739199,0.11873086281833067,0.5497207397815055,0.6965481139015784,-0.0014866477704549579,1.0
Gaussian,0.5,0.7080390891705141,0.1367252359092065,0.00037402335678976415,0.03303545143566513,0.5499827631507807,0.9639824407630502,-0.0007877837731322503,1.0
Gaussian,1.0,0.7080390891705141,0.23929790756836378,0.0006369718830852997,0.057747091275328566,0.5499961855535603,0.895970961861388,-0.0012293957434204715,1.0
Gaussian,2.0,0.7080390891705141,0.35059660488961963,0.0008425607935379876,0.08419415276807111,0.5500537283461633,0.7912906709852566,-0.0015189983123392423,1.0
Gaussian,4.0,0.7080390891705141,0.4220952497436563,0.0010381233294770853,0.10061920357564715,0.550103789701601,0.701779303756558,-0.001604571914334163,1.0
Skewed_log,0.5,0.7076620050429261,0.13390683363338643,0.0005802387952957254,0.03308737299152845,0.5531586037546613,0.9647825385191413,-0.0006558768083332093,1.0
Skewed_log,1.0,0.7076620050429261,0.22997141692900328,0.0012950123450820854,0.05655332092955664,0.5541851666818359,0.8991898188289257,-0.0010808376230011432,1.0
Skewed_log,2.0,0.7076620050429261,0.33249041995720113,0.0020757220914076114,0.080615707783112,0.5534405048140377,0.7963864210346737,-0.0014312595221246437,1.0
Skewed_log,4.0,0.7076620050429261,0.3992638619572178,0.002433940437285435,0.09518001284399531,0.5516760743344138,0.7053971289627131,-0.0015486698051209637,1.0
Student_t_df3,0.5,0.7063215095257857,0.12057772426080028,0.0006948964613315852,0.0214599477094581,0.5500497315771927,0.9667937484506481,-0.0012718957151584536,1.0
Student_t_df3,1.0,0.7063215095257857,0.19625222378641446,0.0015924191598080284,0.03619954676222804,0.5500890170230835,0.9054348108989781,-0.001562308864279105,1.0
Student_t_df3,2.0,0.7063215095257857,0.27235584634940174,0.002498715469264972,0.051068852004637254,0.550083014699926,0.8058097985502268,-0.0016288507519703899,1.0
Student_t_df3,4.0,0.7063215095257857,0.32068806925566956,0.00300777939826435,0.06002466428916881,0.5500001472468564,0.7130049841062182,-0.0016314279082842997,1.0
