noise_sigma,evaluator,metric,mean,sd,CI95_low,CI95_high,n
0.25,interaction_4param,corr_score_luck,0.9702336742947413,0.0002361408602937396,0.9701000650252691,0.9703672835642134,12
0.25,interaction_4param,mean_uplift,0.5067465415983073,0.007904013551314662,0.502274424933808,0.5112186582628067,12
0.25,interaction_4param,delta_P_L>=1,0.08757210792025322,0.0032775003958660045,0.08571768749914732,0.08942652834135911,12
0.25,linear_3param,corr_score_luck,-0.0012931068992931994,0.005611226109941035,-0.004467956946250347,0.0018817431476639479,12
0.25,linear_3param,mean_uplift,4.6117212345047794e-05,0.0027124270244721694,-0.0014885828509364504,0.001580817275626546,12
0.25,linear_3param,delta_P_L>=1,1.0810779418795694e-05,0.0008802845256999085,-0.0004872570782999824,0.0005088786371375738,12
0.25,random_control,corr_score_luck,-0.0005194902897332573,0.002205270510832387,-0.001767239542336979,0.0007282589628704643,12
0.25,random_control,mean_uplift,0.0002039763247795206,0.0017456374057033893,-0.0007837110167890045,0.0011916636663480457,12
0.25,random_control,delta_P_L>=1,0.00037415943583644223,0.0006956951859139014,-1.9467170967649172e-05,0.0007677860426405336,12
0.5,interaction_4param,corr_score_luck,0.8938375366194423,0.0010995104186060634,0.8932154300360065,0.8944596432028782,12
0.5,interaction_4param,mean_uplift,0.4690905395393489,0.005886101502614784,0.4657601640980771,0.4724209149806208,12
0.5,interaction_4param,delta_P_L>=1,0.09307777768502172,0.0024682076835434827,0.09168125772192218,0.09447429764812126,12
0.5,linear_3param,corr_score_luck,-0.0010482280441299785,0.004910497280889507,-0.0038266034325669315,0.0017301473443069742,12
0.5,linear_3param,mean_uplift,0.0011667284868519397,0.0022291229337412146,-9.451654448327379e-05,0.0024279735181871533,12
0.5,linear_3param,delta_P_L>=1,7.014959903236621e-05,0.0007698271358231916,-0.00036542110698269207,0.0005057203050474245,12
0.5,random_control,corr_score_luck,0.001051837594235116,0.003717776958309052,-0.0010516927428782686,0.003155367931348501,12
0.5,random_control,mean_uplift,0.0011380564946777668,0.0025473411479061897,-0.0003032374408344534,0.002579350430189987,12
0.5,random_control,delta_P_L>=1,0.00031063438313992897,0.0006507226336966842,-5.7546606837982595e-05,0.0006788153731178406,12
1.0,interaction_4param,corr_score_luck,0.7071904953058916,0.0023804185054905934,0.7058436467462612,0.708537343865522,12
1.0,interaction_4param,mean_uplift,0.36620857015809133,0.0057005997349862045,0.3629831522223855,0.3694339880937972,12
1.0,interaction_4param,delta_P_L>=1,0.08274388020047223,0.002392934851401276,0.08138994985147466,0.0840978105494698,12
1.0,linear_3param,corr_score_luck,0.001890806844844578,0.0034602616752880564,-6.702050465564463e-05,0.0038486341943448008,12
1.0,linear_3param,mean_uplift,0.0012502232234441477,0.002770315506698415,-0.0003172303320177264,0.002817676778906022,12
1.0,linear_3param,delta_P_L>=1,0.000553745425687704,0.0008987268964079562,4.5242814429995366e-05,0.0010622480369454125,12
1.0,random_control,corr_score_luck,0.0005747702971014247,0.0042424671166184594,-0.0018256314440702223,0.0029751720382730717,12
1.0,random_control,mean_uplift,0.00017350328113037994,0.003297074153194385,-0.0016919920357568567,0.0020389985980176165,12
1.0,random_control,delta_P_L>=1,0.00017236354883483815,0.0009634002069649869,-0.00037273143261716676,0.0007174585302868431,12
2.0,interaction_4param,corr_score_luck,0.4485411467125853,0.002517903984313249,0.4471165084203112,0.44996578500485945,12
2.0,interaction_4param,mean_uplift,0.23436107380754134,0.003280131308236403,0.23250516480762948,0.2362169828074532,12
2.0,interaction_4param,delta_P_L>=1,0.0557720153862013,0.0010387202484467624,0.055184304079448916,0.056359726692953686,12
2.0,linear_3param,corr_score_luck,-0.0008425793668199662,0.0032919120137878777,-0.002705153928382781,0.0010199951947428483,12
2.0,linear_3param,mean_uplift,-3.396508031507095e-05,0.0024721261883932895,-0.0014327021462478683,0.0013647719856177264,12
2.0,linear_3param,delta_P_L>=1,3.739173925947544e-05,0.0011088395716987113,-0.0005899933094447177,0.0006647767879636687,12
2.0,random_control,corr_score_luck,0.0002457885324877928,0.003700385572356698,-0.0018479017016916435,0.002339478766667229,12
2.0,random_control,mean_uplift,0.0008413322737082781,0.0035264651469768243,-0.0011539532161487266,0.0028366177635652827,12
2.0,random_control,delta_P_L>=1,0.0001310538148363132,0.0011759532164525607,-0.0005343043531155132,0.0007964119827881396,12
